EventID,Date,TransitionScore,TransitionPercentile,GeometryStress,GeometryStressPercentile,SPY_Drawdown20D,SPY_Drawdown60D,SigmaMin,ConditionNumber,WeakDirectionRotationDeg,StateClass,SPY_ReturnAfter5D,SPY_WorstAfter5D,SPY_ReturnAfter10D,SPY_WorstAfter10D,SPY_ReturnAfter20D,SPY_WorstAfter20D,SPY_ReturnAfter40D,SPY_WorstAfter40D
44,2022-12-28,1.09719041,99.6031746,0.05892247366,47.61904762,-0.07184648727,-0.07184648727,0.1576028994,10.89512681,10.19259814,IN_STRESS,0.00722139377,0.00722139377,0.05389481093,0.00722139377,0.07704565477,0.00722139377,0.05593894039,0.00722139377
45,2023-03-17,1.362718915,99.6031746,0.548093569,76.58730159,-0.03875069099,-0.06070742386,0.2448046125,8.832647381,19.90585661,PRECURSOR,0.01476965434,0.005435967966,0.04974484951,0.005435967966,0.0614116723,0.005435967966,0.05902717388,0.005435967966
46,2023-06-13,1.966249277,100,1.515085215,99.20634921,0,0,0.1507780341,16.87778056,18.95160399,IN_STRESS,-0.0002389005986,-0.0002389005986,0.003093911182,-0.00828419121,0.03336656281,-0.00828419121,0.02497679248,-0.00828419121
47,2023-07-28,1.301815786,98.41269841,0.4157331711,82.93650794,0,0,0.3010006269,5.421445676,18.24310368,PRECURSOR,-0.02212634266,-0.02212634266,-0.02466517538,-0.02466517538,-0.0370960345,-0.0451501263,-0.05069900903,-0.05467430231
48,2023-09-18,2.869975407,100,1.791975034,100,-0.01328736415,-0.02751302053,0.4940892496,3.16499291,46.54164506,IN_STRESS,-0.0256972311,-0.02977722184,-0.03678751115,-0.0400109605,-0.01710897929,-0.04968116656,-0.007754266264,-0.07427374559
49,2023-11-20,3.128532703,100,2.766020647,100,0,0,0.4898101215,11.07851302,48.40948186,IN_STRESS,0.00147488455,-0.002179563054,0.005151082147,-0.002179563054,0.04954250096,-0.002179563054,0.06631866116,-0.002179563054
50,2024-08-05,3.781108484,100,3.565141467,100,-0.08405629061,-0.08405629061,0.4039175121,5.185859041,72.15252626,IN_STRESS,0.03071254301,0.00247399949,0.08162272337,0.00247399949,0.0670687975,0.00247399949,0.1024085946,0.00247399949
51,2025-04-16,2.864958516,99.6031746,2.747821653,99.6031746,-0.08653957129,-0.1398017626,0.1744612871,14.22376382,41.42223248,IN_STRESS,0.04000695648,-0.02240989345,0.06241679109,-0.02240989345,0.1232735774,-0.02240989345,0.1357152303,-0.02240989345
52,2025-10-15,3.48403428,100,3.728411063,100,-0.01179598816,-0.01179598816,0.1345096254,11.49043089,59.70356938,IN_STRESS,0.003953797145,-0.006810227057,0.03340498317,-0.006810227057,0.02737644863,-0.006810227057,0.03608100106,-0.01900255868
53,2026-06-02,1.317013375,97.61904762,0.9257515625,80.95238095,0,0,0.1024972385,21.5209299,17.69631459,PRECURSOR,-0.02964838682,-0.02964838682,-0.01216476491,-0.0449465258,-0.01565196679,-0.0449465258,-0.02102407541,-0.0449465258
