Spec,Window,Ridge,Cluster,HorizonDays,Events,MeanForwardReturn,MeanWorstReturn,PctNegativeForwardReturn,PctWorstBelowMinus5Pct
W252_R0.0001,252,0.0001,2,10,4,0.005268017755,-0.01614232156,0.5,0
W252_R0.0001,252,0.0001,2,20,4,0.0212660731,-0.01711075357,0.25,0
W252_R0.0001,252,0.0001,2,40,4,0.05232664703,-0.018146496,0.25,0
W252_R0.0001,252,0.0001,3,5,3,-0.001692756393,-0.006961905059,0.3333333333,0
W252_R0.0001,252,0.0001,3,10,3,0.006077294605,-0.009796505413,0.3333333333,0
W252_R0.0001,252,0.0001,3,20,3,0.02142832083,-0.009796505413,0,0
W252_R0.0001,252,0.0001,3,40,3,0.05460343943,-0.009796505413,0,0
W252_R0.0001,252,0.0001,4,5,3,0.003455829099,0.001352152459,0.3333333333,0
W252_R0.0001,252,0.0001,4,10,3,-0.001989167671,-0.01112316862,0.6666666667,0
W252_R0.0001,252,0.0001,4,20,3,0.01575397499,-0.01399073184,0,0
W252_R0.0001,252,0.0001,4,40,3,-0.05017081148,-0.08876447287,0.3333333333,0.3333333333
W252_R0.0001,252,0.0001,5,5,1,0.02345980273,0.006767710893,0,0
W252_R0.0001,252,0.0001,5,10,1,0.00206257065,-0.006573659361,0,0
W252_R0.0001,252,0.0001,5,20,1,0.04002287619,-0.006573659361,0,0
W252_R0.0001,252,0.0001,5,40,1,0.05922932074,-0.006573659361,0,0
W252_R0.001,252,0.001,1,5,5,0.003555812484,-0.002975249822,0.2,0
W252_R0.001,252,0.001,1,10,5,0.001883010948,-0.01018830158,0.4,0
W252_R0.001,252,0.001,1,20,5,-0.01314131051,-0.02284084953,0.8,0
W252_R0.001,252,0.001,1,40,5,-0.007564680774,-0.05633625591,0.4,0.4
W252_R0.001,252,0.001,2,5,4,0.01876432962,-0.002069402797,0,0
W252_R0.001,252,0.001,2,10,4,0.005268017755,-0.01614232156,0.5,0
W252_R0.001,252,0.001,2,20,4,0.0212660731,-0.01711075357,0.25,0
W252_R0.001,252,0.001,2,40,4,0.05232664703,-0.018146496,0.25,0
W252_R0.001,252,0.001,3,5,3,-0.001692756393,-0.006961905059,0.3333333333,0
W252_R0.001,252,0.001,3,10,3,0.006077294605,-0.009796505413,0.3333333333,0
W252_R0.001,252,0.001,3,20,3,0.02142832083,-0.009796505413,0,0
W252_R0.001,252,0.001,3,40,3,0.05460343943,-0.009796505413,0,0
W252_R0.001,252,0.001,4,5,3,0.003455829099,0.001352152459,0.3333333333,0
W252_R0.001,252,0.001,4,10,3,-0.001989167671,-0.01112316862,0.6666666667,0
W252_R0.001,252,0.001,4,20,3,0.01575397499,-0.01399073184,0,0
W252_R0.001,252,0.001,4,40,3,-0.05017081148,-0.08876447287,0.3333333333,0.3333333333
W252_R0.001,252,0.001,5,5,1,0.02345980273,0.006767710893,0,0
W252_R0.001,252,0.001,5,10,1,0.00206257065,-0.006573659361,0,0
W252_R0.001,252,0.001,5,20,1,0.04002287619,-0.006573659361,0,0
W252_R0.001,252,0.001,5,40,1,0.05922932074,-0.006573659361,0,0
W252_R0.01,252,0.01,1,5,5,0.003555812484,-0.002975249822,0.2,0
W252_R0.01,252,0.01,1,10,5,0.001883010948,-0.01018830158,0.4,0
W252_R0.01,252,0.01,1,20,5,-0.01314131051,-0.02284084953,0.8,0
W252_R0.01,252,0.01,1,40,5,-0.007564680774,-0.05633625591,0.4,0.4
W252_R0.01,252,0.01,2,5,4,0.01876432962,-0.002069402797,0,0
W252_R0.01,252,0.01,2,10,4,0.005268017755,-0.01614232156,0.5,0
W252_R0.01,252,0.01,2,20,4,0.0212660731,-0.01711075357,0.25,0
W252_R0.01,252,0.01,2,40,4,0.05232664703,-0.018146496,0.25,0
W252_R0.01,252,0.01,3,5,3,-0.001692756393,-0.006961905059,0.3333333333,0
W252_R0.01,252,0.01,3,10,3,0.006077294605,-0.009796505413,0.3333333333,0
W252_R0.01,252,0.01,3,20,3,0.02142832083,-0.009796505413,0,0
W252_R0.01,252,0.01,3,40,3,0.05460343943,-0.009796505413,0,0
W252_R0.01,252,0.01,4,5,3,0.003455829099,0.001352152459,0.3333333333,0
W252_R0.01,252,0.01,4,10,3,-0.001989167671,-0.01112316862,0.6666666667,0
W252_R0.01,252,0.01,4,20,3,0.01575397499,-0.01399073184,0,0
W252_R0.01,252,0.01,4,40,3,-0.05017081148,-0.08876447287,0.3333333333,0.3333333333
W252_R0.01,252,0.01,5,5,1,0.02345980273,0.006767710893,0,0
W252_R0.01,252,0.01,5,10,1,0.00206257065,-0.006573659361,0,0
W252_R0.01,252,0.01,5,20,1,0.04002287619,-0.006573659361,0,0
W252_R0.01,252,0.01,5,40,1,0.05922932074,-0.006573659361,0,0
